industry,statistic,estimate,estimate1,estimate2,p.value
BusEq,0.5774916089156001,0.04633949801849406,0.14822985468956407,0.10189035667107,0.5636954909864211
Chems,-0.29001577780573695,-0.02067503302509907,0.08121532364597094,0.10189035667107,0.7718441216473269
Durbl,1.3437858765182311,0.14360501981505946,0.24549537648612946,0.10189035667107,0.17927468530041024
Enrgy,-0.4515745593203389,-0.0483236459709379,0.05356671070013211,0.10189035667107,0.6516581610733485
Hlth,-0.4219445538264122,-0.029591809775429315,0.07229854689564069,0.10189035667107,0.6731261255184027
Manuf,-0.1197516507084437,-0.00980317040951123,0.09208718626155878,0.10189035667107,0.9046963638003331
Money,-0.09318118340009214,-0.007966974900924698,0.09392338177014531,0.10189035667107,0.9257727831921703
NoDur,-0.5486663872627116,-0.03801981505944517,0.06387054161162484,0.10189035667107,0.5833168144110932
Other,-0.1625390879594715,-0.01236591809775428,0.08952443857331573,0.10189035667107,0.8709031511450236
Shops,0.008417842302122131,5.931307793923535e-4,0.10248348745046236,0.10189035667107,0.9932847331935847
Telcm,-0.7544526667603789,-0.05367371202113606,0.04821664464993395,0.10189035667107,0.45069556973729563
Utils,-0.5550850344812194,-0.04249801849405548,0.059392338177014524,0.10189035667107,0.5789190481549877
